BKH,Total Shares,8071976.399,Market Cap,4.68E+07,Percent,17.26141703,Ask,68.43,Cap,3.20E+09,SYM,BKH,VTI,91480.34488,VB,196112.816,VXF,38155.77963,IJH,888426.1289,IWM,692064.8838,VYM,66812.8014,VBR,208855.765,MDY,486409.4695,DVY,2171269.911,SDY,2248224.463,IWN,352535.4377,IWV,8768.084174,ITOT,7511.325442,IJJ,271416.0456,PRF,5976.910712,VPU,125091.3342,FVD,199327.7802,IVOO,13537.11822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGI,Total Shares,3.82E+07,Market Cap,2.29E+08,Percent,16.70242424,Ask,8.65,Cap,1.98E+09,SYM,AGI,GDX,1.37E+07,GDXJ,2.46E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDR,Total Shares,1.30E+07,Market Cap,8.05E+07,Percent,16.16771174,Ask,16.4,Cap,1.32E+09,SYM,WDR,VTI,0,VB,327317.0732,VXF,68231.70732,IJH,1588719.512,IWM,1283414.634,VYM,92926.82927,VBR,387317.0732,MDY,869817.0732,DVY,6580243.902,IWN,556585.3659,HDV,376829.2683,IWV,0,IWO,36158.53659,IJK,283170.7317,ITOT,0,IJJ,248597.561,PRF,24939.02439,VFH,101829.2683,FDL,132378.0488,IYF,27804.87805,IVOO,26755.79268,,,,,,,,,,,,,,,,,,,,,,,,
MUX,Total Shares,4.83E+07,Market Cap,2.99E+08,Percent,16.16207547,Ask,3.55,Cap,1.06E+09,SYM,MUX,VXF,105070.4225,GDX,1.71E+07,ITOT,0,GDXJ,3.07E+07,VAW,385915.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXG.TO,Total Shares,1.26E+07,Market Cap,7.87E+07,Percent,16.0366474,Ask,21.98,Cap,1.73E+09,SYM,TXG.TO,GDX,4510373.066,GDXJ,8111737.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXK,Total Shares,1.95E+07,Market Cap,1.22E+08,Percent,16.01846352,Ask,4.84,Cap,5.89E+08,SYM,EXK,GDXJ,1.95E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSG.AX,Total Shares,1.03E+08,Market Cap,6.56E+08,Percent,15.75643564,Ask,1.54,Cap,1.01E+09,SYM,RSG.AX,GDX,3.81E+07,GDXJ,6.53E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJR,Total Shares,1.34E+07,Market Cap,8.61E+07,Percent,15.61232021,Ask,33.35,Cap,2.87E+09,SYM,NJR,VTI,187706.1469,VB,362158.9205,VXF,78290.85457,IJH,1736131.934,VIG,451694.1529,IWM,1341139.43,VYM,137091.4543,VBR,404737.6312,MDY,902998.5007,DVY,2391724.138,SDY,3574092.954,IWN,606056.9715,IWV,17991.0045,IWO,35562.21889,ITOT,15412.29385,IJJ,516161.919,PRF,12263.86807,VPU,243838.081,FVD,394122.9385,IVOO,26314.54273,,,,,,,,,,,,,,,,,,,,,,,,,,
WPG,Total Shares,2.86E+07,Market Cap,1.84E+08,Percent,15.53094365,Ask,9.84,Cap,1.81E+09,SYM,WPG,VTI,636178.8618,VB,1091056.911,VNQ,9402439.024,VXF,227439.0244,IJH,4413109.756,IWM,3475914.634,VBR,1210365.854,MDY,2255081.301,IWN,1325203.252,IWV,60975.60976,IWO,301321.1382,ITOT,52235.77236,IJJ,1289024.39,PRF,83130.0813,IYR,932621.9512,VFH,0,RWR,1136788.618,RWO,518699.187,IYF,77235.77236,IVOO,79276.42276,,,,,,,,,,,,,,,,,,,,,,,,,,
TUP,Total Shares,7654719.904,Market Cap,5.05E+07,Percent,15.14325181,Ask,60.14,Cap,3.04E+09,SYM,TUP,VTI,104090.4556,VB,200831.3934,VXF,49617.55903,IWF,145610.2428,IJH,1010891.254,VYM,76022.6139,VBR,224442.9664,MDY,553458.5966,DVY,4525041.57,IWB,24808.77951,IWR,105171.267,IWP,112304.6225,IWV,9976.720984,ITOT,8546.72431,IJJ,301296.9737,PRF,6800.798138,VCR,32923.17925,FDL,33322.24809,QDF,112537.4127,IVOO,17024.52611,,,,,,,,,,,,,,,,,,,,,,,,,,
HCP,Total Shares,7.05E+07,Market Cap,4.68E+08,Percent,15.07627119,Ask,30.27,Cap,1.42E+10,SYM,HCP,VTI,1654443.343,VOO,1502973.241,SPY,5631020.813,IVV,2349454.906,VNQ,2.20E+07,VUG,630327.0565,VTV,679682.8543,IWD,1705054.509,IWB,394317.8064,SDY,1.25E+07,VV,230723.4886,IWR,1211925.999,IVE,649653.1219,RSP,642880.74,IWS,1435414.602,IWV,138751.2389,ITOT,118863.5613,PRF,148629.0056,IYR,2425371.655,ICF,4582094.483,VFH,0,RWR,2945457.549,XLRE,2638652.131,SPHD,2520779.65,RWO,1302940.205,MGK,87611.49653,DLN,172976.5444,IYF,220944.8299,MGV,43277.17212,,,,,,,,
ASR.TO,Total Shares,4.28E+07,Market Cap,2.88E+08,Percent,14.85503624,Ask,2.78,Cap,8.00E+08,SYM,ASR.TO,GDX,1.57E+07,GDXJ,2.70E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEI,Total Shares,1.02E+07,Market Cap,6.95E+07,Percent,14.73259542,Ask,18.86,Cap,1.31E+09,SYM,PEI,VTI,0,VB,355779.4274,VNQ,3270413.574,VXF,79109.22587,IWM,1255514.316,VBR,420996.8187,IJR,2685577.943,IWN,449416.755,IWV,0,IWO,157211.0286,ITOT,0,IJS,613096.5005,VFH,0,RWR,436108.1654,IJT,325397.667,RWO,184517.4973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMY,Total Shares,6.33E+07,Market Cap,4.34E+08,Percent,14.58230216,Ask,3.2,Cap,1.39E+09,SYM,HMY,GDX,2.57E+07,GDXJ,3.77E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
